Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Kingsley Fobi,GHA,Defensa,Granada,21,1998.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150 mil €,1720
Kingsley Michael,NGA,Centrocampista,Bologna,21,1999.0,1.5,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,250 mil €,1721
Kirian Rodríguez,ESP,Centrocampista,Las Palmas,27,1996.0,14.0,13.0,1147.0,2.0,0.0,2.0,4.0,0.0,0.4,0.4,"2,50 mill. €",1722
Kiril Despodov,BUL,Delantero,Cagliari,23,1996.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,50 mill. €",1723
Koba Koindredi,FRA,Centrocampista,Valencia,19,2001.0,6.0,0.5,98.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05,"1,00 mill. €",1724
Kobbie Mainoo,ENG,Centrocampista,Manchester Utd,18,2005.0,1.0,0.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800 mil €,1725
Koffi Djidji,CIV,Defensa,Torino,29,1992.0,24.0,18.0,1633.5,0.5,0.0,0.5,3.25,0.25,0.45,0.075,"3,00 mill. €",1726
Koke,ESP,Centrocampista,Atlético Madrid,31,1992.0,29.714285714285715,27.857142857142858,2399.428571428572,1.8571428571428568,3.2857142857142856,5.142857142857143,5.571428571428571,0.1428571428571428,1.5000000000000002,3.542857142857143,"16,00 mill. €",1727
Koke Vegas,ESP,PO,Levante,24,1995.0,1.25,1.25,112.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,300 mil €,1728
Koni De Winter,BEL,Defensa,Genoa,21,2002.0,11.5,9.0,825.0,0.0,0.5,0.5,3.5,0.0,0.15,0.4499999999999999,"4,00 mill. €",1729
Konstantinos Mavropanos,GRE,Defensa,West Ham,25,1997.0,2.0,1.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"15,00 mill. €",1730
Koray Günter,GER,Defensa,Hellas Verona,27,1994.0,22.4,20.0,1738.2,0.2,0.4,0.6,5.2,0.0,0.4,0.5,"2,50 mill. €",1731
Kortney Hause,ENG,Defensa,Aston Villa,26,1995.0,10.666666666666666,9.333333333333334,857.3333333333334,1.0,0.0,1.0,1.6666666666666667,0.0,1.2,0.1666666666666666,"2,20 mill. €",1732
Kostas Manolas,GRE,Defensa,Napoli,30,1991.0,20.0,18.33333333333333,1595.6666666666667,1.3333333333333333,0.0,1.3333333333333333,2.6666666666666665,0.0,0.8333333333333334,0.1333333333333333,"2,50 mill. €",1733
Kostas Tsimikas,GRE,Defensa,Liverpool,27,1996.0,10.25,5.5,503.75,0.0,2.0,2.0,1.5,0.0,0.3,1.225,"18,00 mill. €",1734
Kristian Thorstvedt,NOR,Centrocampista,Sassuolo,24,1999.0,20.5,9.5,838.0,2.5,0.5,3.0,3.0,0.0,1.95,0.9,"7,50 mill. €",1735
Kristijan Bistrović,CRO,Centrocampista,Lecce,24,1998.0,11.0,5.0,461.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,"2,00 mill. €",1736
Kristjan Asllani,ALB,Centrocampista,Inter,21,2002.0,16.666666666666668,6.333333333333333,681.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,0.5,0.6,"12,00 mill. €",1737
Kristoffer Ajer,NOR,Defensa,Brentford,25,1998.0,14.666666666666666,13.333333333333334,1161.3333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,3.0,0.0,0.5,1.1,"16,00 mill. €",1738
Kristoffer Askildsen,NOR,Centrocampista,Lecce,21,2001.0,12.5,3.5,413.25,0.25,0.0,0.25,3.0,0.25,0.225,0.125,"1,40 mill. €",1739
Kristoffer Klaesson,NOR,PO,Leeds United,20,2000.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,80 mill. €",1740
Krisztofer Horváth,HUN,Delantero,SPAL,17,2002.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600 mil €,1741
