Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
2857,Ryad Boudebouz,ALG,Centrocampista,Betis,27,1990,27,15,1360,2,3,5,2,0,0.8,2.5,"11,00 mill. €"
2858,Yassine Bounou,MAR,PO,Girona,26,1991,30,30,2655,0,0,0,2,0,0.0,0.0,175 mil €
2859,Eneko Bóveda,ESP,Defensa,La Coruña,28,1988,8,7,667,0,0,0,2,0,0.0,0.0,-
2860,Eneko Bóveda,ESP,Defensa,Athletic Club,28,1988,6,6,522,0,1,1,1,0,0.0,0.2,"2,00 mill. €"
2861,Lucas Boyé,ARG,Delantero,Celta Vigo,21,1996,13,2,276,0,0,0,2,0,1.1,0.2,"10,00 mill. €"
2862,Darko Brašanac,SRB,Centrocampista,Leganés,25,1992,23,13,1203,2,0,2,3,0,1.6,1.0,"3,50 mill. €"
2863,Alberto Bueno,ESP,Centrocampista,Málaga,29,1988,11,1,226,0,0,0,0,0,1.1,0.5,-
2864,Burgui,ESP,Centrocampista,Alavés,23,1993,23,12,1034,1,0,1,1,0,0.7,1.6,50 mil €
2865,Sergio Busquets,ESP,Centrocampista,Barcelona,29,1988,31,30,2593,1,4,5,8,0,1.0,2.0,300 mil €
2866,Unai Bustinza,ESP,Defensa,Leganés,25,1992,20,18,1637,2,0,2,5,0,2.4,0.2,"1,00 mill. €"
2867,Erick Cabaco,URU,Defensa,Levante,22,1995,14,12,1040,0,0,0,5,0,0.6,0.0,"1,00 mill. €"
2868,Gustavo Cabral,ARG,Defensa,Celta Vigo,31,1985,26,20,1891,1,1,2,5,0,0.7,0.3,250 mil €
2869,Leandro Cabrera,URU,Defensa,Getafe,26,1991,9,8,720,0,0,0,3,0,0.5,0.3,"4,00 mill. €"
2870,Cala,ESP,Defensa,Getafe,27,1989,20,20,1800,2,2,4,9,0,1.6,0.7,-
2871,Carlos Calderón,ESP,Centrocampista,Getafe,22,1995,1,0,4,0,0,0,0,0,0.0,0.0,"2,50 mill. €"
2872,Jonathan Calleri,ARG,Delantero,Las Palmas,23,1993,37,34,3109,9,3,12,7,0,13.5,2.8,-
2873,Víctor Camarasa,ESP,Centrocampista,Betis,23,1994,24,14,1252,1,0,1,1,0,1.4,1.5,800 mil €
2874,José Campaña,ESP,Centrocampista,Levante,24,1993,35,33,2734,1,4,5,9,1,1.4,4.7,"2,50 mill. €"
2875,Joel Campbell,CRC,Centrocampista,Betis,25,1992,8,2,214,2,1,3,1,0,1.1,0.5,"1,50 mill. €"
2876,Sergio Canales,ESP,Centrocampista,Real Sociedad,26,1991,36,20,1928,4,5,9,4,0,3.4,6.0,"13,00 mill. €"
2877,João Cancelo,POR,Centrocampista,Valencia,23,1994,1,1,90,0,0,0,0,0,0.3,0.4,"50,00 mill. €"
2878,Ander Capa,ESP,Defensa,Eibar,25,1992,33,25,2249,0,1,1,4,0,0.2,1.5,"1,80 mill. €"
2879,Lionel Carole,FRA,Defensa,Sevilla,26,1991,6,6,540,0,1,1,0,0,0.3,0.1,"1,00 mill. €"
2880,Yannick Carrasco,BEL,Centrocampista,Atlético Madrid,23,1993,17,8,901,3,4,7,3,0,2.3,2.6,"20,00 mill. €"
2881,Daniel Carriço,POR,Defensa,Sevilla,28,1988,6,5,460,0,0,0,1,0,0.1,0.2,-
2882,Casemiro,BRA,Centrocampista,Real Madrid,25,1992,30,30,2595,5,3,8,8,0,3.3,2.7,"40,00 mill. €"
2883,Kiko Casilla,ESP,PO,Real Madrid,30,1986,10,10,900,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
2884,Samu Castillejo,ESP,Centrocampista,Villarreal,22,1995,30,25,2074,6,5,11,4,0,4.5,4.4,300 mil €
2885,Jonny Castro,ESP,Defensa,Celta Vigo,23,1994,36,36,3202,2,1,3,10,0,1.8,1.6,"13,00 mill. €"
2886,Rubén Castro,ESP,Delantero,Betis,36,1981,10,3,359,1,1,2,0,0,1.8,0.6,100 mil €
2887,Dani Ceballos,ESP,Centrocampista,Real Madrid,20,1996,12,4,401,2,0,2,0,0,0.4,0.2,"12,00 mill. €"
2888,Emanuel Cecchini,ARG,Centrocampista,Málaga,20,1996,2,0,30,0,0,0,2,0,0.0,0.0,350 mil €
2889,Nereo Champagne,ARG,PO,Leganés,32,1985,2,2,180,0,0,0,0,0,0.0,0.0,-
2890,Charles,BRA,Delantero,Eibar,33,1984,30,18,1582,8,1,9,5,1,8.1,1.7,500 mil €
2891,Chema,ESP,Defensa,Levante,25,1992,25,23,2017,1,1,2,7,1,0.5,0.9,"20,00 mill. €"
2892,Denis Cheryshev,RUS,Centrocampista,Villarreal,26,1990,24,9,926,2,1,3,2,0,5.1,3.5,"1,00 mill. €"
2893,Leandro Chichizola,ARG,PO,Las Palmas,27,1990,27,27,2430,0,0,0,2,0,0.0,0.0,"2,50 mill. €"
2894,Chuca,ESP,Centrocampista,Villarreal,20,1997,4,1,88,0,0,0,1,0,0.1,0.0,400 mil €
2895,Cifu,ESP,Defensa,Málaga,26,1990,2,1,108,0,0,0,0,0,0.0,0.1,"8,50 mill. €"
2896,Jasper Cillessen,NED,PO,Barcelona,28,1989,1,1,90,0,0,0,0,0,0.0,0.0,100 mil €
