,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
387,Jesús Navas,ESP,Defensa,Sevilla,36,1985,32,21,1981,0,0,0,5,0,0.3,2.8
388,Álvaro Negredo,ESP,Delantero,Cádiz,36,1985,21,9,757,1,2,3,0,0,1.8,2.4
389,Tanguy Nianzou,FRA,Defensa,Sevilla,20,2002,19,16,1366,1,0,1,1,1,0.5,0.0
390,Saúl Ñíguez,ESP,Centrocampista,Atlético Madrid,27,1994,31,11,1100,3,1,4,8,0,2.4,0.7
391,Fernando Niño,ESP,Centrocampista,Villarreal,21,2000,3,0,22,0,0,0,0,0,0.1,0.0
392,Unai Núñez,ESP,Defensa,Celta Vigo,25,1997,36,35,3151,0,0,0,8,0,1.2,0.1
393,Jan Oblak,SVN,PO,Atlético Madrid,29,1993,28,28,2492,0,0,0,1,0,0.0,0.0
394,Brian Ocampo,URU,Centrocampista,Cádiz,23,1999,18,15,1119,1,1,2,2,0,0.5,1.7
395,Lucas Ocampos,ARG,Delantero,Sevilla,28,1994,19,11,1165,4,0,4,7,0,4.5,1.4
396,Álvaro Odriozola,ESP,Defensa,Real Madrid,26,1995,3,0,39,0,0,0,0,0,0.2,0.3
397,Olasagasti,ESP,Centrocampista,Real Sociedad,21,2000,3,0,65,0,0,0,0,0,0.0,0.0
398,Lucas Olaza,URU,Defensa,Valladolid,28,1994,23,16,1494,0,1,1,3,0,0.4,1.0
399,Brian Oliván,ESP,Defensa,Espanyol,28,1994,30,29,2403,1,7,8,7,0,0.6,4.3
400,Lucas Oliveira Rosa,BRA,Defensa,Valladolid,22,2000,17,11,931,0,1,1,3,0,0.4,1.0
401,Aimar Oroz,ESP,Centrocampista,Osasuna,20,2001,31,23,2013,3,6,9,6,0,3.6,2.8
402,Pedro Ortiz,ESP,Centrocampista,Sevilla,21,2000,1,0,1,0,0,0,0,0,0.0,0.0
403,Mikel Oyarzabal,ESP,Delantero,Real Sociedad,25,1997,23,14,1214,4,1,5,1,0,4.6,2.2
404,Cenk Özkacar,TUR,Defensa,Valencia,21,2000,17,14,1365,0,0,0,1,0,0.8,0.2
405,Fernando Pacheco,ESP,PO,Almería,30,1992,1,1,90,0,0,0,0,0,0.0,0.0
406,Jon Pacheco,ESP,Defensa,Real Sociedad,21,2001,17,12,1193,0,1,1,2,0,0.1,0.1
407,Gonçalo Paciência,POR,Delantero,Celta Vigo,27,1994,25,5,662,2,0,2,2,1,1.9,0.6
408,Helibelton Palacios,COL,Defensa,Elche,29,1993,24,23,1915,0,0,0,6,0,0.4,0.7
409,Isaac Palazón Camacho,ESP,Delantero,Rayo Vallecano,27,1994,37,36,2965,9,5,14,4,0,7.7,5.2
410,Aitor Paredes,ESP,Defensa,Athletic Club,22,2000,16,9,859,0,0,0,3,0,0.5,0.4
411,Daniel Parejo,ESP,Centrocampista,Villarreal,33,1989,37,37,3285,3,4,7,6,0,4.7,4.1
412,Moises Parra Gutierrez,ESP,Delantero,Getafe,20,2002,1,0,10,0,0,0,0,0,0.0,0.0
413,Raúl Parra,ESP,Defensa,Cádiz,22,1999,6,4,310,0,0,0,1,0,0.0,0.0
414,Pascu,ESP,Defensa,Villarreal,19,2003,2,0,10,1,0,1,0,0,0.1,0.0
415,Javier Pastore,ARG,Centrocampista,Elche,33,1989,1,0,5,0,0,0,0,0,0.0,0.0
416,Gabriel Paulista,BRA,Defensa,Valencia,31,1990,21,18,1504,1,0,1,4,2,0.7,0.3
417,Alfonso Pedraza,ESP,Defensa,Villarreal,26,1996,26,20,1633,0,3,3,5,0,1.2,2.0
418,Pedri,ESP,Centrocampista,Barcelona,19,2002,26,22,1976,6,1,7,2,0,4.9,5.0
419,Adrià Pedrosa,ESP,Defensa,Espanyol,24,1998,7,2,229,0,0,0,0,0,0.1,0.7
420,Iñaki Peña,ESP,PO,Barcelona,23,1999,2,0,73,0,0,0,0,0,0.0,0.0
421,Rubén Peña,ESP,Defensa,Osasuna,31,1991,20,14,1277,0,1,1,2,1,1.2,1.0
422,Alberto Perea,ESP,Centrocampista,Cádiz,31,1990,1,1,45,0,0,0,0,0,0.0,0.0
423,Ayoze Pérez,ESP,Delantero,Betis,29,1993,19,17,1386,3,1,4,3,0,4.6,2.0
424,Carles Pérez,ESP,Centrocampista,Celta Vigo,24,1998,35,23,2144,3,5,8,5,0,2.8,2.0
425,Francisco Perez,ESP,Delantero,Valencia,19,2002,7,0,141,0,0,0,2,0,0.0,0.0
