,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
2839,Paco Alcácer,ESP,Centrocampista,Barcelona,23,1993,17,8,695,4,3,7,0,0,3.9,2.1
2840,Pedro Alcalá,ESP,Defensa,Girona,28,1989,8,8,689,1,0,1,4,0,1.0,0.2
2841,Álex Alegría,ESP,Delantero,Levante,24,1992,9,8,628,0,0,0,1,0,1.1,0.2
2842,Iván Alejo,ESP,Centrocampista,Eibar,22,1995,22,14,1102,1,3,4,5,0,0.5,2.1
2843,Alexander,ARG,Centrocampista,Leganés,28,1988,13,13,1060,2,2,4,1,0,2.2,2.5
2844,Alexis,ESP,Defensa,Alavés,31,1985,28,25,2184,1,0,1,6,0,1.2,0.3
2845,José Alonso Lara,ESP,Centrocampista,Sevilla,17,2000,1,0,10,0,0,0,0,0,0.0,0.0
2846,Sergio Álvarez,ESP,PO,Celta Vigo,30,1986,17,16,1476,0,0,0,0,0,0.0,0.1
2847,Yeray Álvarez,ESP,Defensa,Athletic Club,22,1995,8,7,675,0,0,0,2,0,0.1,0.1
2848,Eloi Amagat,ESP,Centrocampista,Girona,32,1985,2,0,15,0,0,0,0,0,0.2,0.0
2849,Jordi Amat,IDN,Defensa,Betis,25,1992,25,24,2045,0,0,0,7,2,0.4,0.1
2850,Amath,SEN,Centrocampista,Getafe,21,1996,37,36,2859,3,3,6,9,0,4.4,2.7
2851,Nordin Amrabat,MAR,Delantero,Leganés,30,1987,30,17,1623,2,4,6,6,1,3.7,3.2
2852,Jon Ander Serantes,ESP,PO,Leganés,27,1989,1,1,90,0,0,0,0,0,0.0,0.0
2853,Florin Andone,ROU,Delantero,La Coruña,24,1993,29,16,1636,7,3,10,6,0,11.4,0.9
2854,Miguel Ángel Guerrero,ESP,Delantero,Leganés,27,1990,22,15,1442,4,3,7,3,0,5.7,1.5
2855,José Ángel,ESP,Defensa,Eibar,27,1989,30,28,2426,0,8,8,4,0,0.5,4.1
2856,Miguel Ángel Moyá,ESP,PO,Real Sociedad,33,1984,9,9,764,0,0,0,0,0,0.0,0.0
2857,Miguel Ángel Rubio,ESP,Defensa,Getafe,19,1998,1,0,29,0,0,0,0,0,0.0,0.0
2858,Alberto Aquilani,ITA,Centrocampista,Las Palmas,33,1984,21,15,1297,0,0,0,4,0,0.7,0.5
2859,Mauro Arambarri,URU,Centrocampista,Getafe,21,1995,27,26,2124,1,1,2,9,1,1.6,1.9
2860,Guilherme Arana,BRA,Defensa,Sevilla,20,1997,3,2,193,0,0,0,0,0,0.0,0.0
2861,Sergio Araujo,ARG,Centrocampista,Las Palmas,25,1992,2,0,39,0,0,0,0,0,0.1,0.0
2862,Anaitz Arbilla,ESP,Defensa,Eibar,30,1987,29,26,2414,2,1,3,8,0,0.8,0.4
2863,José Arnaiz,ESP,Centrocampista,Barcelona,22,1995,1,0,6,0,0,0,0,0,0.0,0.0
2864,Alejandro Arribas,ESP,Defensa,La Coruña,28,1989,3,3,270,0,0,0,0,0,0.2,0.0
2865,Kepa Arrizabalaga,ESP,PO,Athletic Club,22,1994,30,30,2700,0,0,0,3,0,0.0,0.3
2866,Aythami Artiles,ESP,Defensa,Las Palmas,31,1986,3,2,184,0,0,0,0,0,0.0,0.0
2867,Sergio Asenjo,ESP,PO,Villarreal,28,1989,23,23,2070,0,0,0,3,0,0.0,0.0
2868,Marco Asensio,ESP,Delantero,Real Madrid,21,1996,32,19,1844,6,6,12,2,0,4.5,6.4
2869,Iago Aspas,ESP,Delantero,Celta Vigo,29,1987,34,33,2936,22,5,27,9,0,17.3,9.5
2870,Carlos Bacca,COL,Delantero,Villarreal,30,1986,35,30,2497,15,6,21,9,0,14.0,4.7
2871,Cédric Bakambu,COD,Delantero,Villarreal,26,1991,15,15,1263,9,0,9,5,0,5.9,1.6
2872,Zakaria Bakkali,BEL,Delantero,La Coruña,21,1996,23,10,909,0,0,0,5,0,1.2,0.3
2873,Gareth Bale,WAL,Delantero,Real Madrid,28,1989,26,20,1799,16,2,18,5,0,11.8,5.0
2874,Mikel Balenziaga,ESP,Defensa,Athletic Club,29,1988,18,18,1549,0,2,2,1,0,0.2,1.0
2875,Éver Banega,ARG,Centrocampista,Sevilla,29,1988,31,25,2399,3,3,6,9,1,3.8,6.2
2876,Léo Baptistão,BRA,Delantero,Espanyol,24,1992,36,31,2677,8,3,11,4,0,10.2,2.5
2877,Mariano Barbosa,ARG,PO,Villarreal,33,1984,13,12,1125,0,0,0,0,0,0.0,0.0
2878,Enis Bardhi,MKD,Centrocampista,Levante,22,1995,26,16,1580,9,1,10,8,0,3.1,1.3
2879,Antonio Barragán,ESP,Defensa,Betis,30,1987,29,28,2373,0,6,6,7,0,0.7,2.8
2880,Barri,ESP,Centrocampista,Getafe,21,1995,2,1,113,0,0,0,0,0,0.1,0.0
2881,Marc Bartra,ESP,Defensa,Betis,26,1991,16,16,1420,1,0,1,6,0,0.8,0.7
2882,Borja Bastón,ESP,Delantero,Málaga,24,1992,20,8,985,2,0,2,2,0,5.1,0.1
