Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Rúben Vinagre,POR,Defensa,Everton,23,1999.0,6.666666666666667,2.3333333333333335,283.6666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.09999999999999999,0.2333333333333333,3500000.0
Rúnar Alex Rúnarsson,ISL,PO,Arsenal,25,1995.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
Răzvan Marin,ROU,Centrocampista,Empoli,27,1996.0,29.0,25.75,2253.5,1.25,3.75,5.0,4.75,0.25,1.25,4.075,5000000.0
Saba Sazonov,GEO,Defensa,Torino,21,2002.0,3.0,1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3000000.0
Sabin Merino,ESP,Delantero,Athletic Club,27,1992.0,9.0,2.3333333333333335,249.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0666666666666667,0.10000000000000002,500000.0
Sabit Abdulai,GHA,Centrocampista,Getafe,21,1999.0,3.0,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0
Sadio Mané,SEN,Delantero,Liverpool,29,1992.0,34.666666666666664,31.333333333333332,2792.0,15.0,5.333333333333333,20.333333333333332,3.6666666666666665,0.0,14.833333333333334,6.266666666666666,25000000.0
Saidy Janko,GAM,Defensa,Valladolid,24,1995.0,19.0,14.0,1220.0,0.0,1.0,1.0,4.0,0.0,0.5,0.5,1000000.0
Salem Al-Dawsari,KSA,Centrocampista,Villarreal,25,1991.0,1.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000000.0
Salomón Rondón,VEN,Delantero,Everton,32,1989.0,13.5,4.5,449.5,0.5,0.5,1.0,1.5,0.5,1.3,0.44999999999999996,1000000.0
Salva Sevilla,ESP,Centrocampista,Mallorca,37,1984.0,31.5,24.0,2037.5,5.0,3.0,8.0,6.0,0.5,4.3,3.9499999999999997,200000.0
Salvador Ferrer,ESP,Defensa,Spezia,24,1998.0,16.666666666666668,9.333333333333334,940.3333333333334,0.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.0,0.10000000000000002,0.8666666666666667,700000.0
Salvatore Esposito,ITA,Centrocampista,Spezia,21,2000.0,15.0,10.0,971.0,1.0,0.0,1.0,5.0,1.0,0.7,1.5,3300000.0
Salvatore Molina,ITA,Defensa,Monza,30,1992.0,17.0,14.5,1272.0,0.5,2.0,2.5,1.0,0.0,0.35,1.2,450000.0
Salvatore Sirigu,ITA,PO,Fiorentina,35,1987.0,26.5,26.5,2385.0,0.0,0.0,0.0,1.0,0.0,0.0,0.025,500000.0
Salvi,ESP,Centrocampista,Cádiz,32,1991.0,19.0,11.5,961.5,1.0,0.25,1.25,2.5,0.25,1.3499999999999999,0.8500000000000001,2200000.0
Sam Beukema,NED,Defensa,Bologna,25,1998.0,12.0,12.0,1080.0,0.0,1.0,1.0,2.0,0.0,0.4,0.7,10000000.0
Sam Byram,ENG,Defensa,Norwich City,27,1993.0,16.0,13.0,1160.0,0.0,0.0,0.0,3.5,0.0,1.0,0.30000000000000004,1000000.0
Sam Field,ENG,Centrocampista,West Brom,22,1998.0,3.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0
Sam Greenwood,ENG,Centrocampista,Leeds United,20,2002.0,12.5,2.0,330.5,0.5,2.0,2.5,0.5,0.0,0.5,0.65,5000000.0
Sam Johnstone,ENG,PO,Crystal Palace,30,1993.0,19.666666666666668,19.666666666666668,1770.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.06666666666666667,10000000.0
Sam Lammers,NED,Delantero,Sampdoria,25,1997.0,12.5,6.0,578.0,1.0,0.5,1.5,0.25,0.0,1.525,0.575,2500000.0
Sam Surridge,ENG,Delantero,Nott'ham Forest,24,1998.0,12.0,0.5,175.0,0.5,0.0,0.5,1.0,0.0,1.15,0.1,5500000.0
Saman Ghoddos,IRN,Defensa,Brentford,30,1993.0,13.333333333333334,1.6666666666666667,282.3333333333333,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,0.0,0.2333333333333333,0.6666666666666666,2000000.0
Samir Santos,BRA,Defensa,Watford,26,1994.0,21.75,19.0,1714.0,0.5,0.0,0.5,4.5,0.0,0.825,0.275,7000000.0
Samu Castillejo,ESP,Centrocampista,Villarreal,28,1995.0,19.833333333333332,12.333333333333334,1038.6666666666667,2.1666666666666665,1.3333333333333333,3.5,3.3333333333333335,0.16666666666666666,2.4,2.0999999999999996,3000000.0
Samu Costa,POR,Centrocampista,Almería,23,2000.0,23.0,16.5,1529.5,1.0,1.0,2.0,3.5,0.0,1.2,0.6,5000000.0
Samu Pérez,ESP,PO,Valladolid,22,1997.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0
Samuel Amo-Ameyaw,ENG,Centrocampista,Southampton,16,2006.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Samuel Chukwueze,NGA,Centrocampista,Villarreal,24,1999.0,27.333333333333332,15.833333333333334,1528.8333333333333,3.5,2.5,6.0,1.5,0.0,3.766666666666667,3.016666666666667,25000000.0
Samuel Di Carmine,ITA,Delantero,Cremonese,33,1988.0,9.4,5.8,466.4,1.6,0.0,1.6,1.2,0.0,1.7399999999999998,0.13999999999999999,350000.0
Samuel Edozie,ENG,Delantero,Southampton,19,2003.0,17.0,5.0,567.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,8000000.0
Samuel Iling-Junior,ENG,Delantero,Juventus,20,2003.0,8.0,0.5,217.0,0.5,1.0,1.5,0.5,0.0,0.44999999999999996,0.1,9000000.0
Samuel Kalu,NGA,Delantero,Watford,23,1997.0,4.0,2.0,222.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,2500000.0
Samuel Lino,BRA,Delantero,Valencia,23,1999.0,23.5,19.0,1680.5,4.0,1.5,5.5,2.5,0.0,4.4,2.1500000000000004,20000000.0
Samuel Mráz,SVK,Delantero,Spezia,24,1997.0,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
Samuel Omorodion,ESP,Delantero,Alavés,19,2004.0,6.5,3.0,315.5,2.5,0.0,2.5,1.0,0.0,3.0,0.25,6000000.0
Samuel Sáiz,ESP,Centrocampista,Getafe,31,1991.0,9.0,1.5,272.5,1.5,0.0,1.5,1.5,0.0,1.0,0.15000000000000002,900000.0
Samuel Umtiti,FRA,Defensa,Barcelona,28,1993.0,15.166666666666666,13.0,1195.8333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,4.5,0.0,0.31666666666666665,0.15,4000000.0
Samuele Birindelli,ITA,Defensa,Monza,24,1999.0,22.0,9.0,962.0,0.0,1.0,1.0,5.5,0.0,0.75,2.0,2300000.0
Samuele Longo,ITA,Delantero,Huesca,26,1992.0,15.0,6.0,556.0,1.0,2.0,3.0,4.0,0.0,1.8,1.7,350000.0
Samuele Mulattieri,ITA,Delantero,Sassuolo,23,2000.0,9.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,4500000.0
Samuele Perisan,ITA,PO,Empoli,26,1997.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0
Samuele Ricci,ITA,Centrocampista,Torino,22,2001.0,17.75,14.75,1276.25,0.75,1.0,1.75,2.25,0.25,0.675,0.8500000000000001,20000000.0
Samuele Vignato,ITA,Centrocampista,Monza,19,2004.0,7.0,1.5,196.5,0.5,0.5,1.0,1.0,0.0,0.9,0.25,1000000.0
Sander Berge,NOR,Centrocampista,Burnley,25,1998.0,14.0,11.666666666666666,981.0,0.6666666666666666,1.0,1.6666666666666667,2.0,0.0,0.9,0.7999999999999999,20000000.0
Sandi Lovrić,SVN,Centrocampista,Udinese,25,1998.0,24.0,17.0,1472.5,2.5,3.0,5.5,2.5,0.5,3.05,2.2,10000000.0
Sandro Ramírez,ESP,Delantero,Sevilla,28,1995.0,19.166666666666668,11.833333333333334,1033.0,1.8333333333333333,0.5,2.3333333333333335,2.5,0.0,2.4833333333333334,1.1166666666666667,1800000.0
Sandro Tonali,ITA,Centrocampista,Newcastle Utd,23,2000.0,27.6,23.4,2019.0,1.8,3.2,5.0,5.6,0.2,1.7599999999999998,3.5800000000000005,60000000.0
Sanjin Prcić,BIH,Centrocampista,Levante,24,1993.0,10.0,6.0,532.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,3000000.0
Santi Cazorla,ESP,Centrocampista,Villarreal,34,1984.0,35.0,29.5,2548.5,7.5,9.5,17.0,2.5,0.0,6.55,7.1,500000.0
Santi Comesaña,ESP,Centrocampista,Rayo Vallecano,27,1996.0,26.0,21.75,1871.25,1.25,1.25,2.5,7.0,0.25,1.7750000000000001,1.2,7500000.0
Santi Mina,ESP,Delantero,Valencia,25,1995.0,32.6,24.0,2025.8,8.8,3.2,12.0,4.0,0.0,8.059999999999999,2.68,2000000.0
Santiago Arias,COL,Defensa,Atlético Madrid,29,1992.0,17.0,11.666666666666666,1096.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,0.0,0.5333333333333333,1.2666666666666668,2500000.0
Santiago Arzamendia,PAR,Centrocampista,Cádiz,24,1998.0,13.0,5.0,476.0,0.5,0.0,0.5,1.0,0.0,0.2,0.25,1200000.0
Santiago Ascacíbar,ARG,Centrocampista,Cremonese,25,1997.0,13.0,7.0,727.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,5500000.0
Santiago Bueno,URU,Defensa,Wolves,25,1998.0,17.5,17.5,1550.0,0.0,0.5,0.5,3.5,0.5,0.65,0.55,8000000.0
Santiago Cáseres,ARG,Centrocampista,Villarreal,21,1997.0,23.0,17.0,1588.0,0.0,1.0,1.0,10.0,0.0,0.5,1.1,2000000.0
Sardar Azmoun,IRN,Centrocampista,Roma,28,1995.0,8.0,0.0,107.0,1.0,0.0,1.0,1.0,0.0,0.4,0.1,12000000.0
Sasa Kalajdzic,AUT,Delantero,Wolves,26,1997.0,5.0,1.0,104.5,1.0,0.0,1.0,0.0,0.0,0.7000000000000001,0.5,12000000.0
Saïd Benrahma,ALG,Delantero,West Ham,28,1995.0,26.75,16.5,1523.0,3.75,4.0,7.75,0.25,0.0,3.7499999999999996,3.4250000000000003,25000000.0
Saúl Coco,EQG,Defensa,Las Palmas,24,1999.0,11.0,8.0,759.0,1.0,0.0,1.0,2.0,0.0,0.6,0.0,2000000.0
Saúl García,ESP,Centrocampista,Alavés,26,1994.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0
Saúl Ñíguez,ESP,Defensa,Chelsea,29,1994.0,24.25,18.625,1702.375,2.125,1.375,3.5,6.25,0.0,2.3874999999999997,1.3875,12000000.0
Saša Lukić,SRB,Centrocampista,Fulham,27,1996.0,21.285714285714285,15.857142857142858,1414.7142857142858,1.5714285714285714,0.8571428571428571,2.4285714285714284,4.142857142857143,0.14285714285714285,1.4285714285714286,1.257142857142857,12000000.0
Scott Carson,ENG,PO,Manchester City,34,1985.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Scott Dann,ENG,Defensa,Crystal Palace,33,1987.0,15.5,14.5,1308.0,0.5,0.5,1.0,0.5,0.0,0.55,0.2,200000.0
Scott McKenna,SCO,Defensa,Nott'ham Forest,27,1996.0,12.5,12.0,993.5,0.0,0.0,0.0,2.0,0.0,0.15000000000000002,0.6,10000000.0
Scott McTominay,SCO,Centrocampista,Manchester Utd,26,1996.0,24.6,17.8,1611.4,2.6,0.6,3.2,4.4,0.0,1.7200000000000002,0.96,25000000.0
Sead Kolašinac,BIH,Defensa,Arsenal,30,1993.0,10.5,8.0,711.75,0.25,0.5,0.75,1.75,0.0,0.25,0.375,8000000.0
Sean Longstaff,ENG,Centrocampista,Newcastle Utd,26,1997.0,22.8,16.0,1516.8,1.0,1.6,2.6,2.2,0.2,1.72,1.44,25000000.0
Sebastian Walukiewicz,POL,Defensa,Empoli,23,2000.0,11.8,9.4,842.2,0.0,0.2,0.2,1.0,0.0,0.3,0.15999999999999998,3000000.0
Sebastiano Esposito,ITA,Delantero,Inter,17,2002.0,7.0,2.0,199.0,1.0,0.0,1.0,2.0,0.0,1.8,0.1,3500000.0
Sebastiano Luperto,ITA,Defensa,Empoli,27,1996.0,21.0,19.6,1734.2,0.4,0.2,0.6,3.8,0.8,0.45999999999999996,0.3,3000000.0
Sebastien De Maio,FRA,Defensa,Udinese,34,1987.0,12.666666666666666,9.333333333333334,844.3333333333334,0.0,0.0,0.0,0.6666666666666666,0.0,0.5666666666666668,0.06666666666666667,200000.0
Sebastián Cristóforo,URU,Centrocampista,Getafe,25,1993.0,11.333333333333334,4.666666666666667,472.3333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.09999999999999999,0.3333333333333333,800000.0
Seko Fofana,CIV,Centrocampista,Udinese,24,1995.0,32.0,24.0,2249.0,3.0,7.0,10.0,4.0,0.0,3.4,3.7,24000000.0
Sekou Mara,FRA,Delantero,Southampton,20,2002.0,22.0,4.0,555.0,1.0,2.0,3.0,1.0,0.0,1.0,0.8,8000000.0
Selim Amallah,MAR,Centrocampista,Valladolid,27,1996.0,8.0,4.0,320.5,1.0,1.0,2.0,3.0,1.0,0.6,0.25,2500000.0
Semi Ajayi,NGA,Defensa,West Brom,26,1993.0,33.0,31.0,2780.0,2.0,0.0,2.0,3.0,1.0,1.9,0.5,2500000.0
Serdar Gürler,TUR,Centrocampista,Huesca,26,1991.0,13.0,5.0,482.0,0.0,1.0,1.0,2.0,0.0,0.7,0.2,2000000.0
Serge Aurier,CIV,Defensa,Nott'ham Forest,30,1992.0,21.2,18.2,1600.2,0.8,2.2,3.0,2.4,0.2,0.6599999999999999,1.9400000000000002,8000000.0
Sergej Milinković-Savić,SRB,Centrocampista,Lazio,27,1995.0,35.5,34.25,2974.25,8.75,7.75,16.5,7.25,0.25,6.9,6.075,40000000.0
Sergi Altimira,ESP,Centrocampista,Betis,22,2001.0,3.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0
Sergi Canós,ESP,Delantero,Brentford,26,1997.0,14.333333333333334,9.333333333333334,823.6666666666666,1.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.1333333333333333,0.6666666666666666,4000000.0
Sergi Cardona,ESP,Defensa,Las Palmas,24,1999.0,14.0,11.0,1104.0,0.0,0.0,0.0,5.0,0.0,0.4,1.3,2000000.0
Sergi Darder,ESP,Centrocampista,Espanyol,29,1993.0,31.833333333333332,29.166666666666668,2574.6666666666665,2.6666666666666665,3.3333333333333335,6.0,4.666666666666667,0.16666666666666666,2.3000000000000003,3.9499999999999993,16000000.0
Sergi Enrich,ESP,Delantero,Eibar,30,1990.0,27.75,19.5,1795.25,3.5,2.25,5.75,3.25,0.0,6.2,1.75,1200000.0
Sergi García,ESP,Centrocampista,Alavés,21,1999.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Sergi Guardiola,ESP,Delantero,Valladolid,32,1991.0,19.125,13.625,1183.125,2.875,0.875,3.75,2.125,0.0,3.5249999999999995,1.1625,1500000.0
Sergi Gómez,ESP,Defensa,Celta Vigo,30,1992.0,24.5,22.666666666666668,1990.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.5,0.6666666666666669,0.46666666666666673,2000000.0
Sergi Roberto,ESP,Defensa,Barcelona,31,1992.0,20.0,14.857142857142858,1356.5714285714287,1.4285714285714286,2.857142857142857,4.285714285714286,2.7142857142857144,0.2857142857142857,0.9571428571428571,1.8571428571428574,4000000.0
Sergi Samper,ESP,Centrocampista,Las Palmas,22,1995.0,2.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
Sergio Akieme,ESP,Defensa,Rayo Vallecano,25,1997.0,14.0,13.333333333333334,1155.6666666666667,1.0,0.3333333333333333,1.3333333333333333,2.0,0.0,0.8666666666666667,1.0333333333333334,8000000.0
Sergio Araujo,ARG,Centrocampista,Las Palmas,25,1992.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3000000.0
Sergio Arribas,ESP,Centrocampista,Real Madrid,22,2001.0,8.0,2.6666666666666665,332.0,1.6666666666666667,0.0,1.6666666666666667,0.3333333333333333,0.0,1.5,0.13333333333333333,8000000.0
Sergio Asenjo,ESP,PO,Villarreal,33,1989.0,23.5,23.5,2115.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,700000.0
Sergio Benito,ESP,Delantero,Valladolid,21,1999.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
Sergio Bermejo,ESP,Centrocampista,Celta Vigo,21,1997.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0
Sergio Busquets,ESP,Centrocampista,Barcelona,34,1988.0,33.5,30.833333333333332,2640.8333333333335,0.8333333333333334,2.6666666666666665,3.5,9.333333333333334,0.16666666666666666,0.6666666666666666,2.3333333333333335,3500000.0
Sergio Camello,ESP,Delantero,Atlético Madrid,22,2001.0,13.0,8.0,745.75,1.75,1.5,3.25,0.75,0.0,2.3249999999999997,0.6749999999999999,5000000.0
Sergio Canales,ESP,Centrocampista,Real Sociedad,31,1991.0,33.333333333333336,29.166666666666668,2572.8333333333335,5.666666666666667,5.0,10.666666666666666,4.666666666666667,0.3333333333333333,5.283333333333332,6.0,13000000.0
Sergio Carreira,ESP,Defensa,Celta Vigo,19,2000.0,3.0,3.0,259.0,1.0,0.0,1.0,0.0,0.0,0.8,0.1,1500000.0
Sergio Cubero Ezcurra,ESP,Centrocampista,Eibar,20,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0
Sergio Escudero,ESP,Defensa,Sevilla,32,1989.0,19.666666666666668,15.166666666666666,1348.0,0.8333333333333334,0.6666666666666666,1.5,5.333333333333333,0.16666666666666666,0.9166666666666666,1.15,1500000.0
Sergio Gómez,ESP,Delantero,Manchester City,23,2000.0,14.333333333333334,2.0,385.6666666666667,0.0,1.0,1.0,0.3333333333333333,0.0,0.4000000000000001,0.9666666666666667,13000000.0
Sergio Herrera,ESP,PO,Osasuna,30,1993.0,23.2,22.8,2072.4,0.0,0.0,0.0,2.4,0.2,0.0,0.04,6000000.0
Sergio Moreno,ESP,Delantero,Rayo Vallecano,19,1999.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,300000.0
Sergio Postigo,ESP,Defensa,Levante,32,1988.0,22.8,20.0,1743.8,0.6,0.4,1.0,4.6,0.2,0.4,0.48,500000.0
Sergio Ramos,ESP,Defensa,Real Madrid,37,1986.0,21.8,21.8,1899.6,4.6,0.4,5.0,6.4,0.8,5.58,0.6599999999999999,4000000.0
Sergio Reguilón,ESP,Defensa,Manchester Utd,26,1996.0,18.666666666666668,15.833333333333334,1392.5,0.6666666666666666,2.0,2.6666666666666665,4.0,0.16666666666666666,1.1166666666666667,1.9666666666666666,10000000.0
Sergio Rico,ESP,PO,Sevilla,27,1993.0,19.0,18.5,1708.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3000000.0
Sergio Romero,ARG,PO,Venezia,34,1987.0,16.0,16.0,1440.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,400000.0
Sergio Ruiz,ESP,Centrocampista,Granada,28,1994.0,12.0,7.0,632.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1000000.0
Sergio Santos,ESP,Defensa,Real Madrid,20,2001.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1000000.0
Sergiño Dest,USA,Defensa,Barcelona,21,2000.0,19.666666666666668,14.0,1250.0,0.6666666666666666,1.3333333333333333,2.0,1.0,0.0,1.0333333333333332,1.633333333333333,13000000.0
Shandon Baptiste,GRN,Centrocampista,Brentford,25,1998.0,15.666666666666666,4.333333333333333,522.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3666666666666667,0.5333333333333333,3000000.0
Shane Duffy,IRL,Defensa,Fulham,30,1992.0,14.0,9.0,898.0,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0,0.7999999999999999,0.13333333333333333,2000000.0
Shaquell Moore,USA,Defensa,Levante,20,1996.0,6.0,5.0,424.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,1500000.0
Shea Charles,NIR,Defensa,Manchester City,18,2003.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
Shinji Okazaki,JPN,Delantero,Huesca,34,1986.0,25.0,14.0,1128.0,1.0,1.0,2.0,1.0,0.0,2.1,0.2,200000.0
Shkodran Mustafi,GER,Defensa,Arsenal,29,1992.0,9.666666666666666,7.0,637.3333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.13333333333333333,800000.0
Shola Shoretire,ENG,Centrocampista,Manchester Utd,17,2004.0,1.5,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
Shon Weissman,ISR,Delantero,Valladolid,27,1996.0,17.0,10.0,978.3333333333334,2.3333333333333335,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,2.6333333333333333,0.9333333333333335,3000000.0
Sidnei,BRA,Defensa,La Coruña,30,1989.0,17.5,15.5,1348.0,0.75,0.25,1.0,2.5,0.0,0.6749999999999999,0.15,250000.0
Sidnei Tavares,POR,Centrocampista,Leicester City,18,2001.0,2.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,700000.0
Siebe Van Der Heyden,BEL,Defensa,Mallorca,25,1998.0,4.0,3.0,230.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,4000000.0
Silvan Hefti,SUI,Defensa,Genoa,26,1997.0,10.5,7.5,694.5,0.0,0.0,0.0,0.5,0.0,0.1,0.35,3400000.0
Simeon Nwankwo,NGA,Delantero,Salernitana,31,1992.0,19.333333333333332,13.666666666666666,1273.3333333333333,7.0,1.0,8.0,0.3333333333333333,0.0,7.433333333333334,0.5333333333333333,0.0
Simo,ESP,Defensa,Espanyol,17,2005.0,7.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000000.0
Simon Adingra,CIV,Delantero,Brighton,21,2002.0,12.0,8.0,756.0,3.0,1.0,4.0,2.0,0.0,1.4,1.5,15000000.0
Simon Kjær,DEN,Defensa,Sevilla,34,1989.0,16.0,14.25,1201.25,0.25,0.25,0.5,2.625,0.0,0.625,0.2625,0.0
Simon Moore,ENG,PO,Sheffield Utd,29,1990.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Simon Skrabb,FIN,Delantero,Brescia,24,1995.0,10.0,3.0,257.0,0.0,0.0,0.0,1.0,0.0,0.1,0.5,1200000.0
Simon Sohm,SUI,Centrocampista,Parma,19,2001.0,18.0,8.0,899.0,1.0,0.0,1.0,1.0,0.0,0.6,0.2,2500000.0
Simone Bastoni,ITA,Defensa,Empoli,27,1996.0,19.25,15.25,1289.75,1.5,3.5,5.0,4.75,0.25,0.95,2.325,4000000.0
Simone Colombi,ITA,PO,Parma,29,1991.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0
Simone Edera,ITA,Defensa,Torino,23,1997.0,7.5,2.0,225.0,0.5,0.5,1.0,2.0,0.5,0.65,0.5,300000.0
Simone Iacoponi,ITA,Defensa,Parma,33,1987.0,26.0,23.5,2123.0,1.0,0.0,1.0,5.0,0.5,0.7000000000000001,0.1,75000.0
Simone Muratore,ITA,Centrocampista,Juventus,21,1998.0,4.0,2.0,165.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100000.0
Simone Pafundi,ITA,Centrocampista,Udinese,17,2006.0,3.3333333333333335,0.0,38.666666666666664,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,8000000.0
Simone Perilli,ITA,PO,Hellas Verona,27,1995.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Simone Rabbi,ITA,Delantero,Bologna,18,2001.0,4.0,0.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,300000.0
Simone Romagnoli,ITA,Defensa,Frosinone,33,1990.0,12.333333333333334,9.333333333333334,835.6666666666666,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.5666666666666667,0.26666666666666666,750000.0
Simone Scuffet,ITA,PO,Cagliari,27,1996.0,3.5,3.5,315.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2000000.0
Simone Trimboli,ITA,Centrocampista,Sampdoria,19,2002.0,5.0,0.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,400000.0
Simone Verdi,ITA,Delantero,Torino,31,1992.0,18.166666666666668,11.0,944.6666666666666,2.3333333333333335,1.8333333333333333,4.166666666666667,2.6666666666666665,0.0,2.233333333333333,2.183333333333333,2700000.0
Simone Zaza,ITA,Delantero,Valencia,30,1991.0,24.0,13.5,1334.25,6.25,0.5,6.75,5.25,0.25,6.275,1.4249999999999998,250000.0
Sinan Gümüş,TUR,Delantero,Genoa,25,1994.0,3.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,150000.0
Siriki Dembélé,CIV,Delantero,Bournemouth,25,1996.0,6.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,2000000.0
Siriki Sanogo,CIV,Centrocampista,Benevento,18,2001.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofian Chakla,MAR,Defensa,Villarreal,26,1993.0,4.666666666666667,3.6666666666666665,363.3333333333333,0.0,0.0,0.0,2.0,0.0,0.16666666666666666,0.03333333333333333,500000.0
Sofian Kiyine,MAR,Centrocampista,Venezia,23,1997.0,26.0,14.0,1239.0,1.0,0.0,1.0,8.0,1.0,1.5,2.0,700000.0
Sofiane Boufal,MAR,Centrocampista,Southampton,25,1993.0,27.5,16.5,1424.5,1.5,2.5,4.0,4.0,0.0,2.2,3.25,7000000.0
Sofyan Amrabat,MAR,Centrocampista,Manchester Utd,27,1996.0,24.6,19.4,1726.8,0.4,0.4,0.8,7.2,0.4,0.6,0.8800000000000001,30000000.0
Sokratis Papastathopoulos,GRE,Defensa,Arsenal,31,1988.0,19.0,19.0,1696.0,2.0,0.0,2.0,6.0,0.0,1.1,0.3,800000.0
Solly March,ENG,Delantero,Brighton,29,1994.0,22.2,17.0,1566.0,2.4,2.4,4.8,1.2,0.0,2.88,2.82,22000000.0
Son,ESP,Defensa,Levante,27,1994.0,27.0,16.0,1538.5,0.5,0.0,0.5,4.0,0.5,0.75,1.25,35000000.0
Son Heung-min,KOR,Delantero,Tottenham,31,1992.0,30.2,29.0,2510.0,13.8,6.8,20.6,0.8,0.4,9.860000000000001,6.4399999999999995,0.0
Sonny Perkins,ENG,Centrocampista,West Ham,17,2004.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0
Sory Kaba,GUI,Delantero,Las Palmas,28,1995.0,11.0,6.0,526.0,1.0,1.0,2.0,2.0,0.0,1.4,0.2,2000000.0
Soualiho Meïté,FRA,Centrocampista,Cremonese,28,1994.0,23.5,16.5,1518.75,0.25,1.25,1.5,3.0,0.0,0.675,0.8,3500000.0
