,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
3285,Romelu Lukaku,BEL,Delantero,Inter,29,1993,25,19,1660,10,6,16,1,0,9.0,4.1
3286,Saša Lukić,SRB,Centrocampista,Torino,25,1996,16,13,1195,2,0,2,4,0,1.7,1.4
3287,Sebastiano Luperto,ITA,Defensa,Empoli,25,1996,36,36,3135,2,0,2,4,2,1.2,0.6
3288,Charalambos Lykogiannis,GRE,Defensa,Bologna,28,1993,21,11,1108,2,0,2,3,0,0.8,1.5
3289,Giulio Maggiore,ITA,Centrocampista,Salernitana,24,1998,16,11,894,0,0,0,2,0,0.5,0.5
3290,Giangiacomo Magnani,ITA,Defensa,Hellas Verona,26,1995,24,19,1532,0,1,1,7,1,0.5,0.2
3291,Mike Maignan,FRA,PO,Milan,27,1995,22,22,1978,0,1,1,0,0,0.0,0.0
3292,Jordan Majchrzak,POL,Delantero,Roma,17,2004,1,0,14,0,0,0,0,0,0.0,0.0
3293,Jean-Victor Makengo,FRA,Centrocampista,Udinese,24,1998,16,11,805,0,1,1,2,0,0.4,0.5
3294,Lorenzo Malagrida,ITA,Centrocampista,Sampdoria,18,2003,6,0,109,0,0,0,2,0,0.2,0.1
3295,Daniel Maldini,ITA,Delantero,Spezia,20,2001,18,4,628,2,0,2,1,0,1.2,0.5
3296,Youssef Maleh,MAR,Centrocampista,Fiorentina,23,1998,7,4,297,0,0,0,2,0,0.6,0.6
3297,Youssef Maleh,MAR,Centrocampista,Lecce,23,1998,17,7,674,0,1,1,3,0,0.3,0.3
3298,Ruslan Malinovskyi,UKR,Centrocampista,Atalanta,29,1993,15,5,553,1,2,3,2,0,0.6,2.0
3299,Gianluca Mancini,ITA,Defensa,Roma,26,1996,35,33,2858,1,2,3,7,0,2.3,1.6
3300,Rolando Mandragora,ITA,Centrocampista,Fiorentina,25,1997,29,22,1950,2,4,6,8,0,1.5,4.9
3301,Federico Marchetti,ITA,PO,Spezia,39,1983,1,0,66,0,0,0,0,1,0.0,0.0
3302,Riccardo Marchizza,ITA,Defensa,Sassuolo,24,1998,10,3,283,0,1,1,1,0,0.0,0.3
3303,Gian Marco Ferrari,ITA,Defensa,Sassuolo,30,1992,33,24,2223,1,0,1,5,0,1.2,0.4
3304,Pablo Marí,ESP,Defensa,Monza,28,1993,30,28,2487,1,0,1,4,0,0.6,0.3
3305,Răzvan Marin,ROU,Centrocampista,Empoli,26,1996,33,28,2538,2,4,6,7,0,1.4,4.2
3306,Marlon,BRA,Defensa,Monza,26,1995,28,18,1592,0,0,0,7,1,0.3,0.3
3307,Luca Marrone,ITA,Defensa,Monza,32,1990,2,2,135,0,0,0,0,0,0.1,0.0
3308,Lautaro Martínez,ARG,Delantero,Inter,24,1997,38,27,2576,21,6,27,3,0,18.1,5.4
3309,Lucas Martínez Quarta,ARG,Defensa,Fiorentina,26,1996,27,25,2171,1,1,2,6,0,2.5,0.6
3310,Adam Marušić,MNE,Defensa,Lazio,29,1992,33,31,2760,0,2,2,8,1,0.7,1.1
3311,Adam Masina,MAR,Defensa,Udinese,28,1994,14,8,789,2,0,2,2,0,0.1,0.2
3312,Nemanja Matić,SRB,Centrocampista,Roma,33,1988,35,16,1852,2,2,4,5,0,1.0,2.6
3313,Luís Maximiano,POR,PO,Lazio,23,1999,1,1,5,0,0,0,0,1,0.0,0.0
3314,Pasquale Mazzocchi,ITA,Defensa,Salernitana,27,1995,27,23,1958,2,3,5,2,0,1.3,2.6
3315,Weston McKennie,USA,Centrocampista,Juventus,23,1998,15,13,1052,1,1,2,0,0,0.9,0.7
3316,Gary Medel,CHI,Centrocampista,Bologna,34,1987,29,17,1478,0,1,1,5,0,0.1,0.4
3317,Soualiho Meïté,FRA,Centrocampista,Cremonese,28,1994,31,28,2366,0,2,2,5,0,0.5,0.7
3318,Alex Meret,ITA,PO,Napoli,25,1997,34,34,3060,0,0,0,0,0,0.0,0.0
3319,Yıldırım Mert Çetin,TUR,Defensa,Lecce,25,1997,1,1,20,0,0,0,0,0,0.0,0.0
3320,Junior Messias,BRA,Delantero,Milan,31,1991,25,19,1498,5,2,7,3,0,2.3,0.8
3321,Tommaso Milanese,ITA,Centrocampista,Cremonese,20,2002,2,0,27,0,0,0,0,0,0.0,0.2
3322,Nikola Milenković,SRB,Defensa,Fiorentina,24,1997,27,23,2137,2,1,3,4,0,1.9,0.5
3323,Arkadiusz Milik,POL,Delantero,Juventus,28,1994,27,17,1586,7,1,8,3,1,6.5,2.1
3324,Sergej Milinković-Savić,SRB,Centrocampista,Lazio,27,1995,36,34,3022,9,8,17,10,0,6.8,7.1
3325,Vanja Milinković-Savić,SRB,PO,Torino,25,1997,38,38,3420,0,0,0,4,0,0.0,0.5
3326,Kim Min-jae,KOR,Defensa,Napoli,25,1996,35,35,3050,2,2,4,5,0,1.0,1.9
3327,Aleksei Miranchuk,RUS,Centrocampista,Torino,26,1995,29,24,2089,4,5,9,0,0,2.9,4.2
3328,Antonio Mirante,ITA,PO,Milan,39,1983,1,0,2,0,0,0,0,0,0.0,0.0
3329,Fabio Miretti,ITA,Centrocampista,Juventus,18,2003,27,14,1234,0,2,2,2,0,2.4,1.3
3330,Filippo Missori,ITA,Defensa,Roma,18,2004,3,2,181,0,0,0,1,0,0.0,0.0
3331,Henrikh Mkhitaryan,ARM,Centrocampista,Inter,33,1989,31,24,1986,3,2,5,4,0,2.8,2.1
3332,Salvatore Molina,ITA,Defensa,Monza,30,1992,5,1,229,0,0,0,1,0,0.0,0.1
3333,Daniele Montevago,ITA,Delantero,Sampdoria,19,2003,6,3,231,0,0,0,1,0,0.5,0.2
3334,Lorenzo Montipò,ITA,PO,Hellas Verona,26,1996,37,37,3330,0,0,0,1,0,0.0,0.0
