RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
78,Cala,es ESP,DF,Cádiz,30,1989,28,26,2272,25.2,3,0,3,3,0,0,8,0,1.9,1.9,0.2,2.1,3,47,2,0.12,0.00,0.12,0.12,0.12,0.08,0.01,0.08,0.08,0.08,Partidos
79,Jonathan Calleri,ar ARG,DL,Osasuna,26,1993,25,20,1544,17.2,5,2,7,5,0,0,4,0,5.7,5.5,0.7,6.3,20,31,97,0.29,0.12,0.41,0.29,0.41,0.33,0.04,0.38,0.32,0.37,Partidos
80,Dani Calvo,es ESP,DF,Elche,26,1994,23,19,1779,19.8,2,0,2,2,0,0,3,0,1.3,1.3,0.0,1.3,2,31,2,0.10,0.00,0.10,0.10,0.10,0.06,0.00,0.06,0.06,0.06,Partidos
81,José Campaña,es ESP,CC,Levante,27,1993,9,8,748,8.3,1,2,3,0,1,1,0,0,1.5,0.7,2.0,2.8,26,74,48,0.12,0.24,0.36,0.00,0.24,0.18,0.25,0.43,0.09,0.34,Partidos
82,Sergio Canales,es ESP,"CC,DL",Betis,29,1991,31,28,2498,27.8,8,6,14,6,2,3,4,0,5.3,2.9,6.7,9.6,102,200,127,0.29,0.22,0.50,0.22,0.43,0.19,0.24,0.43,0.10,0.35,Partidos
83,Álex Cantero,es ESP,DL,Levante,20,2000,4,3,237,2.6,0,0,0,0,0,0,1,0,0.4,0.4,0.9,1.3,5,4,13,0.00,0.00,0.00,0.00,0.00,0.17,0.33,0.50,0.17,0.50,Partidos
84,Ander Capa,es ESP,DF,Athletic Club,28,1992,28,25,2131,23.7,2,1,3,2,0,0,5,0,1.1,1.1,1.1,2.3,66,80,100,0.08,0.04,0.13,0.08,0.13,0.05,0.05,0.10,0.05,0.10,Partidos
85,Étienne Capoue,fr FRA,CC,Villarreal,32,1988,16,15,1185,13.2,1,0,1,1,0,0,5,1,0.3,0.3,0.1,0.5,10,58,4,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03,Partidos
86,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,32,31,2581,28.7,0,1,1,0,0,0,3,0,0.5,0.5,1.1,1.6,31,92,43,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.05,0.02,0.05,Partidos
87,Cárdenas,es ESP,PO,Levante,23,1997,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
88,Marc Cardona,es ESP,"DL,DF",Osasuna,25,1995,3,0,53,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,5,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Partidos
89,Diego Carlos,br BRA,DF,Sevilla,27,1993,33,32,2788,31.0,1,0,1,1,0,0,11,1,1.3,1.3,0.6,1.9,5,53,2,0.03,0.00,0.03,0.03,0.03,0.04,0.02,0.06,0.04,0.06,Partidos
90,Juan Carlos,es ESP,"CC,DL",Huesca,29,1991,15,3,291,3.2,0,1,1,0,0,0,0,0,0.6,0.6,0.4,0.9,5,16,17,0.00,0.31,0.31,0.00,0.31,0.18,0.11,0.28,0.18,0.28,Partidos
91,Yannick Carrasco,be BEL,"DF,CC",Atlético Madrid,26,1993,30,25,2179,24.2,6,10,16,6,0,0,6,0,5.2,5.2,6.0,11.2,146,86,212,0.25,0.41,0.66,0.25,0.66,0.21,0.25,0.46,0.21,0.46,Partidos
92,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,3,3,259,2.9,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,0,6,14,0.35,0.00,0.35,0.35,0.35,0.27,0.04,0.31,0.27,0.31,Partidos
93,Guido Carrillo,ar ARG,DL,Elche,29,1991,21,11,1002,11.1,3,2,5,3,0,0,3,0,2.5,2.5,1.1,3.6,9,31,30,0.27,0.18,0.45,0.27,0.45,0.22,0.10,0.32,0.22,0.32,Partidos
94,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,13,11,950,10.6,0,2,2,0,0,0,5,0,0.5,0.5,0.8,1.2,21,48,62,0.00,0.19,0.19,0.00,0.19,0.04,0.07,0.11,0.04,0.11,Partidos
95,William Carvalho,pt POR,CC,Betis,28,1992,27,12,1223,13.6,2,0,2,2,0,0,6,1,1.2,1.2,0.7,1.9,10,101,19,0.15,0.00,0.15,0.15,0.15,0.09,0.05,0.14,0.09,0.14,Partidos
96,Casemiro,br BRA,CC,Real Madrid,28,1992,34,32,2901,32.2,6,4,10,6,0,0,11,1,6.2,6.2,2.7,8.8,20,135,45,0.19,0.12,0.31,0.19,0.31,0.19,0.08,0.27,0.19,0.27,Partidos
97,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Partidos
98,Sofian Chakla,ma MAR,DF,Getafe,26,1993,11,9,897,10.0,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,2,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
99,Chema,es ESP,"DF,CC",Getafe,28,1992,10,7,557,6.2,0,0,0,0,0,0,3,1,0.1,0.1,0.2,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Partidos
100,Denis Cheryshev,ru RUS,CC,Valencia,29,1990,21,13,1101,12.2,0,3,3,0,0,0,3,0,1.0,1.0,2.4,3.4,37,37,95,0.00,0.25,0.25,0.00,0.25,0.08,0.19,0.28,0.08,0.28,Partidos
